chapter_no,regulation_no,title,code_version
II-2,II-2/15,"Instructions, on-board training and drills",SOLAS Consolidated Edition 2020
II-2,II-2/16,Operations,SOLAS Consolidated Edition 2020
II-2,II-2/19,Carriage of dangerous goods,SOLAS Consolidated Edition 2020
II-2,II-2/20,"Protection of vehicle, special category and ro-ro spaces",SOLAS Consolidated Edition 2020
III,III/3,Definitions,SOLAS Consolidated Edition 2020
III,III/6,Communications,SOLAS Consolidated Edition 2020
III,III/7,Personal life-saving appliances,SOLAS Consolidated Edition 2020
III,III/8,Muster list and emergency instructions,SOLAS Consolidated Edition 2020
III,III/9,Operating instructions,SOLAS Consolidated Edition 2020
III,III/10,Manning of survival craft and supervision,SOLAS Consolidated Edition 2020
III,III/11,Survival craft and rescue boat embarkation arrangements,SOLAS Consolidated Edition 2020
III,III/13,Stowage of survival craft,SOLAS Consolidated Edition 2020
III,III/16,Launching and recovery arrangements for survival craft,SOLAS Consolidated Edition 2020
III,III/17,"Rescue boat embarkation, launching and recovery arrangements",SOLAS Consolidated Edition 2020
III,III/19,Emergency training and drills,SOLAS Consolidated Edition 2020
III,III/20,"Operational readiness, maintenance and inspections",SOLAS Consolidated Edition 2020
III,III/21,Survival craft and rescue boats (passenger ships),SOLAS Consolidated Edition 2020
III,III/26,Additional requirements for ro-ro passenger ships,SOLAS Consolidated Edition 2020
III,III/30,Drills (cargo ships),SOLAS Consolidated Edition 2020
III,III/32,Personal life-saving appliances (cargo ships),SOLAS Consolidated Edition 2020
IV,IV/2,Terms and definitions,SOLAS Consolidated Edition 2020
IV,IV/4,Functional requirements,SOLAS Consolidated Edition 2020
IV,IV/5,Provision of radiocommunication services,SOLAS Consolidated Edition 2020
IV,IV/6,Radio installations,SOLAS Consolidated Edition 2020
IV,IV/7,Radio equipment: General,SOLAS Consolidated Edition 2020
IV,IV/8,Radio equipment: Sea area A1,SOLAS Consolidated Edition 2020
IV,IV/9,Radio equipment: Sea areas A1 and A2,SOLAS Consolidated Edition 2020
IV,IV/10,"Radio equipment: Sea areas A1, A2 and A3",SOLAS Consolidated Edition 2020
IV,IV/11,"Radio equipment: Sea areas A1, A2, A3 and A4",SOLAS Consolidated Edition 2020
IV,IV/12,Watches,SOLAS Consolidated Edition 2020
IV,IV/13,Sources of energy,SOLAS Consolidated Edition 2020
IV,IV/15,Maintenance requirements,SOLAS Consolidated Edition 2020
IV,IV/16,Radio personnel,SOLAS Consolidated Edition 2020
IV,IV/17,Radio records,SOLAS Consolidated Edition 2020
V,V/14,Ships' manning,SOLAS Consolidated Edition 2020
V,V/15,"Principles relating to bridge design, equipment and procedures",SOLAS Consolidated Edition 2020
V,V/16,Maintenance of equipment,SOLAS Consolidated Edition 2020
V,V/18,"Approval, surveys and performance standards of navigational systems",SOLAS Consolidated Edition 2020
V,V/19,Carriage requirements for shipborne navigational systems and equipment,SOLAS Consolidated Edition 2020
V,V/19-1,Long-range identification and tracking of ships,SOLAS Consolidated Edition 2020
V,V/20,Voyage data recorders,SOLAS Consolidated Edition 2020
V,V/21,International Code of Signals and IAMSAR Manual,SOLAS Consolidated Edition 2020
V,V/22,Navigation bridge visibility,SOLAS Consolidated Edition 2020
V,V/23,Pilot transfer arrangements,SOLAS Consolidated Edition 2020
V,V/24,Use of heading and/or track control systems,SOLAS Consolidated Edition 2020
V,V/25,Operation of steering gear,SOLAS Consolidated Edition 2020
V,V/26,Steering gear: Testing and drills,SOLAS Consolidated Edition 2020
V,V/27,Nautical charts and nautical publications,SOLAS Consolidated Edition 2020
V,V/28,Records of navigational activities and daily reporting,SOLAS Consolidated Edition 2020
V,V/29,"Life-saving signals to be used by ships, aircraft or persons in distress",SOLAS Consolidated Edition 2020
V,V/31,Danger messages,SOLAS Consolidated Edition 2020
V,V/33,Distress situations: obligations and procedures,SOLAS Consolidated Edition 2020
V,V/34,Safe navigation and avoidance of dangerous situations,SOLAS Consolidated Edition 2020
V,V/35,Misuse of distress signals,SOLAS Consolidated Edition 2020
VI,VI/2,Cargo information,SOLAS Consolidated Edition 2020
VI,VI/3,Oxygen analysis and gas detection equipment,SOLAS Consolidated Edition 2020
VI,VI/5,Stowage and securing,SOLAS Consolidated Edition 2020
VI,VI/5-1,Material safety data sheets,SOLAS Consolidated Edition 2020
VI,VI/6,Acceptability for shipment (solid bulk cargoes),SOLAS Consolidated Edition 2020
VI,VI/7,"Loading, unloading and stowage of bulk cargoes",SOLAS Consolidated Edition 2020
VII,VII/2,Documents (dangerous goods in packaged form),SOLAS Consolidated Edition 2020
VII,VII/3,Stowage and segregation requirements,SOLAS Consolidated Edition 2020
VII,VII/4,Reporting of incidents involving dangerous goods,SOLAS Consolidated Edition 2020
VII,VII/7-2,Documents (dangerous goods in solid form in bulk),SOLAS Consolidated Edition 2020
VII,VII/7-3,Stowage and segregation requirements (solid bulk),SOLAS Consolidated Edition 2020
IX,IX/1,Definitions (Management for the safe operation of ships),SOLAS Consolidated Edition 2020
IX,IX/2,Application,SOLAS Consolidated Edition 2020
IX,IX/3,Safety management requirements,SOLAS Consolidated Edition 2020
IX,IX/4,Certification,SOLAS Consolidated Edition 2020
IX,IX/5,Maintenance of conditions,SOLAS Consolidated Edition 2020
IX,IX/6,Verification and control,SOLAS Consolidated Edition 2020
XI-1,XI-1/1,Authorization of recognized organizations,SOLAS Consolidated Edition 2020
XI-1,XI-1/2,Enhanced surveys,SOLAS Consolidated Edition 2020
XI-1,XI-1/3,Ship identification number,SOLAS Consolidated Edition 2020
XI-1,XI-1/3-1,Company and registered owner identification number,SOLAS Consolidated Edition 2020
XI-1,XI-1/4,Port State control on operational requirements,SOLAS Consolidated Edition 2020
XI-1,XI-1/5,Continuous synopsis record,SOLAS Consolidated Edition 2020
XI-1,XI-1/6,Additional requirements for the investigation of marine casualties and incidents,SOLAS Consolidated Edition 2020
XI-2,XI-2/1,Definitions (maritime security),SOLAS Consolidated Edition 2020
XI-2,XI-2/3,Obligations of Contracting Governments with respect to security,SOLAS Consolidated Edition 2020
XI-2,XI-2/4,Requirements for companies and ships,SOLAS Consolidated Edition 2020
XI-2,XI-2/5,Specific responsibility of companies,SOLAS Consolidated Edition 2020
XI-2,XI-2/6,Ship security alert system,SOLAS Consolidated Edition 2020
XI-2,XI-2/8,Master's discretion for ship safety and security,SOLAS Consolidated Edition 2020
XI-2,XI-2/9,Control and compliance measures,SOLAS Consolidated Edition 2020
XI-2,XI-2/10,Requirements for port facilities,SOLAS Consolidated Edition 2020
XI-2,XI-2/11,Alternative security agreements,SOLAS Consolidated Edition 2020
XI-2,XI-2/13,Communication of information,SOLAS Consolidated Edition 2020
XII,XII/4,Damage stability requirements applicable to bulk carriers,SOLAS Consolidated Edition 2020
XII,XII/6,Structural and other requirements for bulk carriers,SOLAS Consolidated Edition 2020
XII,XII/7,Survey and maintenance of bulk carriers,SOLAS Consolidated Edition 2020
XII,XII/8,Information on compliance with requirements for bulk carriers,SOLAS Consolidated Edition 2020
XII,XII/9,Requirements for bulk carriers not being capable of complying,SOLAS Consolidated Edition 2020
XII,XII/11,Loading instrument,SOLAS Consolidated Edition 2020
XII,XII/12,"Hold, ballast and dry space water ingress alarms",SOLAS Consolidated Edition 2020
XII,XII/13,Availability of pumping systems,SOLAS Consolidated Edition 2020
XII,XII/14,Restrictions from sailing with any hold empty,SOLAS Consolidated Edition 2020
XIV,XIV/3,Polar Water Operational Manual (Polar Code),SOLAS Consolidated Edition 2020
XIV,XIV/4,Polar Ship Certificate,SOLAS Consolidated Edition 2020
